play,act,scene,location,entity_text,label,label_description
THE TRAGEDY OF ROMEO AND JULIET,1,4,A Street.,TONIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,SECOND,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,THE DAY THAT,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,LIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,THIRTY YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,SOME FIVE AND TWENTY YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,THIRTY.,MONEY,"Monetary values, including unit"
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,TWO YEARS AGO,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,THIS NIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,TYBALT,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,TIBERIO,PERSON,PERSON
THE TRAGEDY OF ROMEO AND JULIET,2,2,Capulet's Garden.,TWO OF THE,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,2,2,Capulet's Garden.,HUNDRED,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,2,2,Capulet's Garden.,ORCHARD,LOCATION,LOCATION
THE TRAGEDY OF ROMEO AND JULIET,2,2,Capulet's Garden.,TOMORROW,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,2,2,Capulet's Garden.,THOUSAND,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,2,2,Capulet's Garden.,TWENTY YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,2,2,Capulet's Garden.,ALMOST MORNING,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,2,3,Friar Lawrence's Cell.,DAY,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,2,3,Friar Lawrence's Cell.,FRIAR LAWRENCE,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,THIRD,ORDINAL,"""first"", ""second"", etc."
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,SECOND,ORDINAL,"""first"", ""second"", etc."
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,FRENCH,NORP,Nationalities or religious or political groups
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,LAST NIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,NOON,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,LENT,EVENT,"Named hurricanes, battles, wars, sports events, etc."
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,A MONTH,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,TWENTY,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,2,4,A Street.,THIS HOUR,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,2,5,Capulet's Garden.,HALF AN HOUR,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,2,5,Capulet's Garden.,TEN,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,2,5,Capulet's Garden.,THE HIGHMOST HILL,LOCATION,LOCATION
THE TRAGEDY OF ROMEO AND JULIET,2,5,Capulet's Garden.,A FOOT,QUANTITY,"Measurements, as of weight or distance"
THE TRAGEDY OF ROMEO AND JULIET,2,6,Friar Lawrence's Cell.,THAT AFTER-HOURS,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,2,6,Friar Lawrence's Cell.,HALF,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,3,1,A public Place.,ITALY,GPE,"Countries, cities, states"
THE TRAGEDY OF ROMEO AND JULIET,3,1,A public Place.,EASTER,EVENT,"Named hurricanes, battles, wars, sports events, etc."
THE TRAGEDY OF ROMEO AND JULIET,3,1,A public Place.,EIGHT,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,3,1,A public Place.,PAGE,PERSON,PERSON
THE TRAGEDY OF ROMEO AND JULIET,3,1,A public Place.,THIS DAY,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,3,1,A public Place.,KINSMAN,REL,REL
THE TRAGEDY OF ROMEO AND JULIET,3,1,A public Place.,SOME TWENTY OF THEM,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,3,2,A Room in Capulet's House.,THE NIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,3,2,A Room in Capulet's House.,TEN THOUSAND,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,3,3,Friar Lawrence's cell.,HOUR,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,3,3,Friar Lawrence's cell.,NURSE,TITLE,TITLE
THE TRAGEDY OF ROMEO AND JULIET,3,3,Friar Lawrence's cell.,FRIAR,TITLE,TITLE
THE TRAGEDY OF ROMEO AND JULIET,3,3,Friar Lawrence's cell.,THREE,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,3,3,Friar Lawrence's cell.,TWENTY HUNDRED THOUSAND,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,3,4,A Room in Capulet's House.,DAUGHTER,REL,REL
THE TRAGEDY OF ROMEO AND JULIET,3,4,A Room in Capulet's House.,THURSDAY,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,3,4,A Room in Capulet's House.,SOME HALF A DOZEN FRIENDS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,3,5,"An open Gallery to Juliet's Chamber, overlooking the Garden.",THE DAY,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,3,5,"An open Gallery to Juliet's Chamber, overlooking the Garden.",EVERY DAY,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,3,5,"An open Gallery to Juliet's Chamber, overlooking the Garden.",MANY DAYS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,3,5,"An open Gallery to Juliet's Chamber, overlooking the Garden.",YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,3,5,"An open Gallery to Juliet's Chamber, overlooking the Garden.",IN HAPPY TIME,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,3,5,"An open Gallery to Juliet's Chamber, overlooking the Garden.",MORN,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,3,5,"An open Gallery to Juliet's Chamber, overlooking the Garden.",THE SUNSET,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,3,5,"An open Gallery to Juliet's Chamber, overlooking the Garden.",COUNTY,TITLE,TITLE
THE TRAGEDY OF ROMEO AND JULIET,4,1,Friar Lawrence's Cell.,EVENING,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,1,Friar Lawrence's Cell.,TOMORROW NIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,1,Friar Lawrence's Cell.,THE DAY OF LIFE,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,4,1,Friar Lawrence's Cell.,THE MORNING,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,2,Hall in Capulet's House.,MORNING,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,2,Hall in Capulet's House.,NIGHT,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,4,3,Juliet's Chamber.,TOMORROW MORNING,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,3,Juliet's Chamber.,THIS MANY HUNDRED YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,4,3,Juliet's Chamber.,SOME HOURS,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,4,Hall in Capulet's House.,THREE O'CLOCK,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,5,Juliet's Chamber; Juliet on the bed.,THE NEXT NIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,5,Juliet's Chamber; Juliet on the bed.,SON,REL,REL
THE TRAGEDY OF ROMEO AND JULIET,4,5,Juliet's Chamber; Juliet on the bed.,THIS MORNING,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,4,5,Juliet's Chamber; Juliet on the bed.,A DAY,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,5,1,Mantua. A Street.,BALTHASAR,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,5,1,Mantua. A Street.,FORTY DUCATS,MONEY,"Monetary values, including unit"
THE TRAGEDY OF ROMEO AND JULIET,5,2,Friar Lawrence's Cell.,FRIAR JOHN,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,5,2,Friar Lawrence's Cell.,THIS THREE HOURS,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,5,3,A churchyard; in it a Monument belonging to the Capulets.,EARLY IN THE MORNING,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,5,3,A churchyard; in it a Monument belonging to the Capulets.,THIS TWO DAYS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,5,3,A churchyard; in it a Monument belonging to the Capulets.,SOME HOUR,TIME,Times smaller than a day
