play,act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HERMIA,GPE,"Countries, cities, states",889,895
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LYSANDER,PERSON,"People, including fictional",897,905
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,DEMETRIUS,ORG,"Companies, agencies, institutions, etc.",910,919
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THESEUS,PERSON,"People, including fictional",965,972
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,EGEUS,ORG,"Companies, agencies, institutions, etc.",1021,1026
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HERMIA,PERSON,"People, including fictional",1098,1104
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,GAUD,ORG,"Companies, agencies, institutions, etc.",1536,1541
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,KNACKS,GPE,"Countries, cities, states",1553,1559
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,NOSEGAY,ORG,"Companies, agencies, institutions, etc.",1570,1578
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,DEMETRIUS,PERSON,"People, including fictional",1853,1862
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,ATHEN,GPE,"Countries, cities, states",1895,1901
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,ONE,CARDINAL,Numerals that do not fall under another type,2146,2149
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HERMIA,ORG,"Companies, agencies, institutions, etc.",2339,2345
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,GRACE,PERSON,"People, including fictional",2606,2611
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THAT DAY,DATE,Absolute or relative dates or periods,3764,3772
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,DIANA,PERSON,"People, including fictional",3880,3885
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,CRAZÈD,GPE,"Countries, cities, states",3998,4004
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,SCORNFUL LYSANDER,PERSON,"People, including fictional",4128,4145
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,NEDAR,PERSON,"People, including fictional",4628,4633
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HELENA,ORG,"Companies, agencies, institutions, etc.",4646,4652
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,YEARS,DATE,Absolute or relative dates or periods,5971,5976
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,SWIFT,PERSON,"People, including fictional",6259,6264
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,SEVEN,CARDINAL,Numerals that do not fall under another type,6920,6925
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,TOMORROW NIGHT,TIME,Times smaller than a day,7126,7140
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,MAY,DATE,Absolute or relative dates or periods,7255,7258
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,CUPID,ORG,"Companies, agencies, institutions, etc.",7334,7339
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,VENUS,ORG,"Companies, agencies, institutions, etc.",7418,7423
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,TROJAN,ORG,"Companies, agencies, institutions, etc.",7545,7551
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,TOMORROW,DATE,Absolute or relative dates or periods,7697,7705
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,WHITHER,PERSON,"People, including fictional",7835,7842
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HELEN,PERSON,"People, including fictional",9110,9115
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,PHOEBE,PERSON,"People, including fictional",9171,9177
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,MORROW DEEP MIDNIGHT,TIME,Times smaller than a day,9787,9807
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LOVE,WORK_OF_ART,"Titles of books, songs, etc.",10212,10216
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,STARVELE,GPE,"Countries, cities, states",45,55
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,QUINCE,PERSON,"People, including fictional",57,63
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,DUCHESS,PERSON,"People, including fictional",306,313
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,FIRST,ORDINAL,"""first"", ""second"", etc.",352,357
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,PETER QUINCE,PERSON,"People, including fictional",364,376
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,PYRAMUS,ORG,"Companies, agencies, institutions, etc.",544,551
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,NICK BOTTOM,PERSON,"People, including fictional",747,758
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,PYRAMUS,PERSON,"People, including fictional",868,875
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,ERCLES,PERSON,"People, including fictional",1210,1216
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,PHIBBUS,ORG,"Companies, agencies, institutions, etc.",1353,1360
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,FRANCIS FLUTE,PERSON,"People, including fictional",1548,1561
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,THISNE,ORG,"Companies, agencies, institutions, etc.",2001,2008
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,THISNE!'—'AH,PERSON,"People, including fictional",2009,2021
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,ROBIN STARVELING,PERSON,"People, including fictional",2174,2190
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,STARVELE,ORG,"Companies, agencies, institutions, etc.",2204,2214
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,TOM SNOUT,PERSON,"People, including fictional",2293,2302
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,DUCHESS,LAW,Named documents made into laws.,2872,2879
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,SUMMER,DATE,Absolute or relative dates or periods,3372,3378
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,FRENCH,NORP,Nationalities or religious or political groups,3684,3690
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,A MILE,QUANTITY,"Measurements, as of weight or distance",3975,3981
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,MOONLIGHT,TIME,Times smaller than a day,4003,4012
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,PUCK,PERSON,"People, including fictional",31,35
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,HILL,PERSON,"People, including fictional",102,106
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,BUSH,PERSON,"People, including fictional",128,132
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,SWIFTER,PERSON,"People, including fictional",227,234
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THE FAIRY QUEEN,WORK_OF_ART,"Titles of books, songs, etc.",271,286
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,FAREWELL,PERSON,"People, including fictional",539,547
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,QUEEN,PERSON,"People, including fictional",588,593
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,TONIGHT,TIME,Times smaller than a day,669,676
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,OBERON,PERSON,"People, including fictional",729,735
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,INDIAN,NORP,Nationalities or religious or political groups,833,839
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,KNIGHT,PERSON,"People, including fictional",923,929
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,ROBIN GOODFELLOW,PERSON,"People, including fictional",1356,1372
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,HOBGOBLIN,PERSON,"People, including fictional",1633,1642
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THREE-FOOT,QUANTITY,"Measurements, as of weight or distance",2137,2147
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,NEEZE,ORG,"Companies, agencies, institutions, etc.",2337,2342
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,A MERRIER HOUR,TIME,Times smaller than a day,2354,2368
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,TITANIA,PRODUCT,"Objects, vehicles, foods, etc. (not services)",2528,2535
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,ILL,ORG,"Companies, agencies, institutions, etc.",2567,2570
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,TITANIA,ORG,"Companies, agencies, institutions, etc.",2604,2611
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,TARRY,PERSON,"People, including fictional",2701,2706
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,FAIRYLAND,GPE,"Countries, cities, states",2817,2826
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,CORIN,PERSON,"People, including fictional",2848,2853
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,PHILLIDA,GPE,"Countries, cities, states",2920,2928
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,INDIA,GPE,"Countries, cities, states",2981,2986
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,AMAZON,ORG,"Companies, agencies, institutions, etc.",3021,3027
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,HIPPOLYTA KNOW,ORG,"Companies, agencies, institutions, etc.",3227,3245
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,AEGLES,PERSON,"People, including fictional",3384,3390
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,ARIADNE,PERSON,"People, including fictional",3413,3420
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,MET,ORG,"Companies, agencies, institutions, etc.",3525,3528
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,DALE,GPE,"Countries, cities, states",3544,3548
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,RUSHY BROOK,PERSON,"People, including fictional",3592,3603
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,BEACHÈD,GPE,"Countries, cities, states",3615,3622
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,NINE,CARDINAL,Numerals that do not fall under another type,4188,4192
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,PALE,ORG,"Companies, agencies, institutions, etc.",4442,4446
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,FALL,DATE,Absolute or relative dates or periods,4595,4599
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,HIEM,ORG,"Companies, agencies, institutions, etc.",4649,4654
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THE SPRING,DATE,Absolute or relative dates or periods,4739,4749
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THE SUMMER,DATE,Absolute or relative dates or periods,4751,4761
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,ANGRY WINTER,DATE,Absolute or relative dates or periods,4784,4796
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,NEPTUNE,ORG,"Companies, agencies, institutions, etc.",5360,5367
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,A HUNDRED THOUSAND,CARDINAL,Numerals that do not fall under another type,6909,6927
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THE WATERY MOON,LOC,"Non-GPE locations, mountain ranges, bodies of water",7010,7025
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,FORTY MINUTES,TIME,Times smaller than a day,7565,7578
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THE NIGHT,TIME,Times smaller than a day,9567,9576
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,APOLLO,ORG,"Companies, agencies, institutions, etc.",9939,9945
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,DAPHNE,PERSON,"People, including fictional",9957,9963
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,THIRD,ORDINAL,"""first"", ""second"", etc.",90,95
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,NEWTS,PERSON,"People, including fictional",492,497
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,FAIRY QUEEN,WORK_OF_ART,"Titles of books, songs, etc.",545,556
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,PHILOMEL,PERSON,"People, including fictional",566,574
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,LULLA,PERSON,"People, including fictional",616,621
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,WORM,PERSON,"People, including fictional",871,875
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,CHORUS,ORG,"Companies, agencies, institutions, etc.",901,907
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,SQUEEZE,ORG,"Companies, agencies, institutions, etc.",1096,1104
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,PARD,ORG,"Companies, agencies, institutions, etc.",1230,1234
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,THE DAY,DATE,Absolute or relative dates or periods,1572,1579
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,TWO,CARDINAL,Numerals that do not fall under another type,1743,1746
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,BOSOMS INTERCHAINÈD,PERSON,"People, including fictional",2044,2063
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,BESHREW,PERSON,"People, including fictional",2241,2248
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,HALF,CARDINAL,Numerals that do not fall under another type,2706,2710
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,OBERON,GPE,"Countries, cities, states",3335,3341
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,THE TEDIOUS MINUTES,TIME,Times smaller than a day,4662,4681
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,REASON,PERSON,"People, including fictional",4999,5005
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,SNOUT,PERSON,"People, including fictional",63,68
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,PAT,PERSON,"People, including fictional",130,133
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,EIGHT AND SIX,DATE,Absolute or relative dates or periods,1076,1089
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,EIGHT AND EIGHT,DATE,Absolute or relative dates or periods,1142,1157
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,SNOUT,ORG,"Companies, agencies, institutions, etc.",1159,1164
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,THAT NIGHT,TIME,Times smaller than a day,2383,2393
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MOONSHINE,NORP,Nationalities or religious or political groups,2663,2672
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,BOTTOM,PERSON,"People, including fictional",2874,2880
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,THE FAIRY QUEEN,FAC,"Buildings, airports, highways, bridges, etc.",3424,3439
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,JEW,NORP,Nationalities or religious or political groups,4153,4156
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,NINNY,PERSON,"People, including fictional",4238,4243
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,NINUS,PERSON,"People, including fictional",4260,4265
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,DOTH MARK,PERSON,"People, including fictional",5825,5834
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,PEASEBLOSSOM,PERSON,"People, including fictional",7067,7079
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MOTH,PERSON,"People, including fictional",7089,7093
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,FOUR,CARDINAL,Numerals that do not fall under another type,7118,7122
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,PEASEBLOSSOM,ORG,"Companies, agencies, institutions, etc.",7132,7144
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,COBWEB,ORG,"Companies, agencies, institutions, etc.",7153,7159
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,I. MOTH,PERSON,"People, including fictional",7165,7172
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,I. MUSTARDSEED,PERSON,"People, including fictional",7178,7192
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MOTH,GPE,"Countries, cities, states",7752,7756
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MUSTARDSEED,ORG,"Companies, agencies, institutions, etc.",7764,7775
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,PEASCOD,PERSON,"People, including fictional",8127,8134
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,FORSOOK,PERSON,"People, including fictional",611,618
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,NOLE,PRODUCT,"Objects, vehicles, foods, etc. (not services)",701,705
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,ANTIPODES,PERSON,"People, including fictional",2418,2427
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,VENUS,PRODUCT,"Objects, vehicles, foods, etc. (not services)",2682,2687
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,DURST,PERSON,"People, including fictional",3057,3062
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,A MILLION,CARDINAL,Numerals that do not fall under another type,4189,4198
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,TARTAR,PRODUCT,"Objects, vehicles, foods, etc. (not services)",4557,4563
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,BEG,PERSON,"People, including fictional",4778,4781
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,THINE EYNE,PERSON,"People, including fictional",6034,6044
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,CRYSTAL,LOC,"Non-GPE locations, mountain ranges, bodies of water",6046,6053
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,TAURU,LOC,"Non-GPE locations, mountain ranges, bodies of water",6164,6170
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,DISPARAGE,PERSON,"People, including fictional",7552,7561
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,LEST,PERSON,"People, including fictional",7596,7600
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,FAIR HELENA,ORG,"Companies, agencies, institutions, etc.",8170,8181
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,FIERY OES,PERSON,"People, including fictional",8223,8232
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,LO,PERSON,"People, including fictional",8405,8407
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,THREE,CARDINAL,Numerals that do not fall under another type,8480,8485
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,THE HOURS,TIME,Times smaller than a day,8720,8729
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,AMAZÈD,PERSON,"People, including fictional",9601,9607
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,WINK,PERSON,"People, including fictional",10401,10405
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,SWEET,PERSON,"People, including fictional",10777,10782
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,ETHIOPE,LOC,"Non-GPE locations, mountain ranges, bodies of water",11280,11287
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,LOATHÈD,PERSON,"People, including fictional",11634,11641
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,CANKERBLOSSOM,PERSON,"People, including fictional",12510,12523
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,SHREWISHNESS,GPE,"Countries, cities, states",13355,13367
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,GOOD HERMIA,PERSON,"People, including fictional",13553,13564
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,HELENA,GPE,"Countries, cities, states",14981,14987
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,ROBIN,PERSON,"People, including fictional",15834,15839
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,ACHERON,ORG,"Companies, agencies, institutions, etc.",15926,15933
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,AURORA,ORG,"Companies, agencies, institutions, etc.",16919,16925
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,TROOP,ORG,"Companies, agencies, institutions, etc.",16990,16995
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,MORNING,TIME,Times smaller than a day,17315,17322
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,NEPTUNE,LOC,"Non-GPE locations, mountain ranges, bodies of water",17448,17455
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,TURN,ORG,"Companies, agencies, institutions, etc.",17481,17486
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,GOBLIN,PERSON,"People, including fictional",17719,17725
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,THY GREY LIGHT,PERSON,"People, including fictional",18787,18801
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,HO,PERSON,"People, including fictional",18888,18890
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,COWARD,PERSON,"People, including fictional",18900,18906
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,DAY,DATE,Absolute or relative dates or periods,19308,19311
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,SHINE,PERSON,"People, including fictional",19445,19450
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,JACK,PERSON,"People, including fictional",20386,20390
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,JILL,PERSON,"People, including fictional",20402,20406
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,LYSANDER DEMETRIUS,ORG,"Companies, agencies, institutions, etc.",0,19
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,COBWEB,GPE,"Countries, cities, states",93,99
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,FAIRY,ORG,"Companies, agencies, institutions, etc.",129,136
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,MONSIEUR COBWEB,PERSON,"People, including fictional",488,503
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,CAVALERY COBWEB,PERSON,"People, including fictional",1057,1072
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,ENRING,ORG,"Companies, agencies, institutions, etc.",2018,2025
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,BARKY,PERSON,"People, including fictional",2030,2035
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,DIAN,PERSON,"People, including fictional",3290,3294
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,FIVE,CARDINAL,Numerals that do not fall under another type,3720,3724
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,MIDNIGHT,TIME,Times smaller than a day,4017,4025
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,DANCE IN DUKE,WORK_OF_ART,"Titles of books, songs, etc.",4035,4048
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,WEDDED,PERSON,"People, including fictional",4159,4165
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,THE MORNING,TIME,Times smaller than a day,4242,4253
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,THIS NIGHT,TIME,Times smaller than a day,4456,4466
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,HERCULE,GPE,"Countries, cities, states",5011,5019
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,CADMUS,PRODUCT,"Objects, vehicles, foods, etc. (not services)",5024,5030
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,CRETE,GPE,"Countries, cities, states",5055,5060
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,SPARTA,GPE,"Countries, cities, states",5096,5102
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,THESSALIAN,NORP,Nationalities or religious or political groups,5469,5479
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,THESSALY,NORP,Nationalities or religious or political groups,5647,5655
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,NEDAR,ORG,"Companies, agencies, institutions, etc.",5816,5821
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,HELENA,PERSON,"People, including fictional",5824,5830
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,HORNS,PERSON,"People, including fictional",6163,6168
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,MORROW,DATE,Absolute or relative dates or periods,6251,6257
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,SAINT VALENTINE,PERSON,"People, including fictional",6268,6283
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,GOD,PERSON,"People, including fictional",9083,9086
A MIDSUMMER NIGHT'S DREAM,4,2,Athens. A Room in Quince's House,FLUTE,WORK_OF_ART,"Titles of books, songs, etc.",14,19
A MIDSUMMER NIGHT'S DREAM,4,2,Athens. A Room in Quince's House,YEA,PERSON,"People, including fictional",425,428
A MIDSUMMER NIGHT'S DREAM,4,2,Athens. A Room in Quince's House,GARLICK,PERSON,"People, including fictional",1799,1806
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,LORD,ORG,"Companies, agencies, institutions, etc.",39,44
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,EGYPT,GPE,"Countries, cities, states",542,547
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,"LYSANDER, DEMETRIUS",PERSON,"People, including fictional",1227,1246
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,THREE HOURS,TIME,Times smaller than a day,1556,1567
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,A TORTURING HOUR,TIME,Times smaller than a day,1709,1725
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,THIS EVENING,TIME,Times smaller than a day,1823,1835
